###################################################################################################
# Correspondence between electronic channel and pad number 
# This file s valid for the anode version V.
# ch 47 and 63 correspond to the strip in between two row of pad, correspondence change among
# different digitizers. 
###################################################################################################
# Date 29-11-2022
######################
#electronic channel -  pad number
0	0
1	2
2	4
3	6
4	8
5	10
6	12
7	14
8	16
9	18
10	20
11	22
12	24
13	26
14	28
15	30
16	1
17	3
18	5
19	7
20	9
21	11
22	13
23	15
24	17
25	19
26	21
27	23
28	25
29	27
30	29
31	31
32	32
33	34
34	36
35	38
36	40
37	42
38	44
39	46
40	48
41	50
42	52
43	54
44	56
45	58
46	60
47	100
48	33
49	35
50	37
51	39
52	41
53	43
54	45
55	47
56	49
57	51
58	53
59	55
60	57
61	59
62	61
63	101
